user_id,pre,test,,,,,,
2000002384920320 ,0,0,,,,,,
2000002711201930 ,1,1,,,,,,
2000002519004020 ,0,0,,,,,,
2000002491631800 ,0,0,,,,,,data6.csv
2000002731830000 ,0,0,,,,,,测试集为30%
2000002670608940 ,0,0,,,,,,"X_test.shape:(40548, 93)"
2000002404413990 ,0,0,,,,,,"X_train.shape:(94611, 93)"
2000002231739750 ,0,0,,,,,,oh_not编码
2000002835652620 ,0,0,,,,,,"epochs = 15,  batch_size = 2520"
2000002607655940 ,0,0,,,,,,年龄用虚拟变量
2000001568847690 ,0,0,,,,,,出错8个
2000002363611480 ,0,0,,,,,,
2000002411441300 ,0,0,,,,,,
2000002927895250 ,0,0,,,,,,
2000002928346280 ,1,1,,,,,,
2000002516504230 ,0,0,,,,,,
2000002409831710 ,0,0,,,,,,
2000001577903170 ,0,0,,,,,,
2000002828827700 ,0,0,,,,,,
2000002441553450 ,0,0,,,,,,
2000002752800600 ,0,0,,,,,,
2000002670655330 ,0,0,,,,,,
2000002453801630 ,0,0,,,,,,
2000002384315770 ,0,0,,,,,,
2000002895695440 ,0,0,,,,,,
2000002928263120 ,0,0,,,,,,
2000002585731160 ,0,0,,,,,,
2000002400796880 ,0,0,,,,,,
2000001736517250 ,0,0,,,,,,
2000002452220480 ,1,1,,,,,,
2000002550324910 ,0,0,,,,,,
2000002466749460 ,0,0,,,,,,
2000002681704220 ,0,0,,,,,,
2000002510909580 ,0,0,,,,,,
2000001644050130 ,0,0,,,,,,
2000002409827500 ,0,0,,,,,,
2000002368360150 ,0,0,,,,,,
2000002810313390 ,0,0,,,,,,
2000002415147710 ,0,0,,,,,,
2000002279019580 ,0,0,,,,,,
2000002480863020 ,0,0,,,,,,
2000002625700510 ,0,0,,,,,,
2000002889917980 ,0,0,,,,,,
2000002763546670 ,0,0,,,,,,
2000002523884530 ,0,0,,,,,,
2000002633626840 ,0,0,,,,,,
2000002926495290 ,0,0,,,,,,
2000002857699940 ,0,0,,,,,,
2000002810095570 ,0,0,,,,,,
2000002361910830 ,0,0,,,,,,
2000002421050140 ,0,0,,,,,,
2000002441554230 ,0,0,,,,,,
2000002651942500 ,0,0,,,,,,
2000002499972330 ,0,0,,,,,,
2000002291135220 ,0,0,,,,,,
2000002466882230 ,0,0,,,,,,
2000002415148910 ,0,0,,,,,,
2000002491751650 ,0,0,,,,,,
2000002633521570 ,0,0,,,,,,
2000002417241820 ,0,0,,,,,,
2000002731796890 ,0,0,,,,,,
2000002491671880 ,1,1,,,,,,
2000001922002660 ,0,0,,,,,,
2000002384962720 ,0,0,,,,,,
2000002461996310 ,0,0,,,,,,
2000002411528750 ,0,0,,,,,,
2000002502226480 ,0,0,,,,,,
2000002288160690 ,0,0,,,,,,
2000002931480960 ,0,0,,,,,,
2000002781607670 ,0,0,,,,,,
2000002609385760 ,0,0,,,,,,
